BUS_ID,BUS_NAME,Gen_Type,Latitude,Longitude,U_FED,REG,VBASEKV,ARE
91.0,VIANT1-ES013,,-20.363333,-40.428889,ES,Sudeste-Centro-Oeste,13.8,302.0
95.0,VIANT2-ES013,,-20.363333,-40.428889,ES,Sudeste-Centro-Oeste,13.8,302.0
96.0,VIANT3-ES013,,-20.363333,-40.428889,ES,Sudeste-Centro-Oeste,13.8,302.0
100.0,MARIMB-MG500,,-20.301198,-49.20339,MG,Sudeste-Centro-Oeste,500.0,351.0
101.0,ARARAQ-SP500,,-21.774272,-48.253983,SP,Sudeste-Centro-Oeste,500.0,202.0
102.0,P.CALD-MG500,,-21.797915,-46.612409,MG,Sudeste-Centro-Oeste,500.0,351.0
103.0,CAMPIN-SP500,,-22.774201,-47.004621,SP,Sudeste-Centro-Oeste,500.0,202.0
104.0,C.PAUL-SP500,,-22.632745,-45.035694,SP,Sudeste-Centro-Oeste,500.0,202.0
105.0,ANGRA--RJ500,,-23.008611,-44.454948,RJ,Sudeste-Centro-Oeste,500.0,251.0
106.0,ADRIAN-RJ500,,-22.665712,-43.476932,RJ,Sudeste-Centro-Oeste,500.0,251.0
107.0,GRAJAU-RJ500,,-22.928023,-43.264827,RJ,Sudeste-Centro-Oeste,500.0,251.0
108.0,S.JOSE-RJ500,,-22.748756,-43.332291,RJ,Sudeste-Centro-Oeste,500.0,251.0
109.0,BYPSAD-RJ500,,-22.720833,-43.642222,RJ,Sudeste-Centro-Oeste,500.0,251.0
116.0,IMBTAP-RJ138,,-22.71666667,-43.23833333,RJ,Sudeste-Centro-Oeste,138.0,256.0
119.0,BANDT4-GO013,,-16.793335,-49.233715,GO,Sudeste-Centro-Oeste,13.8,512.0
120.0,P.CALD-MG345,,-21.797915,-46.612409,MG,Sudeste-Centro-Oeste,345.0,352.0
122.0,IBIUNA-SP500,,-23.665017,-47.101719,SP,Sudeste-Centro-Oeste,500.0,202.0
123.0,CAMPIN-SP345,,-22.774201,-47.004621,SP,Sudeste-Centro-Oeste,345.0,204.0
126.0,GUARUL-SP345,,-23.442541,-46.585484,SP,Sudeste-Centro-Oeste,345.0,204.0
129.0,MOGI---SP345,,-23.503735,-46.169846,SP,Sudeste-Centro-Oeste,345.0,204.0
131.0,M.MORA-MG345,,-20.286561,-47.069916,MG,Sudeste-Centro-Oeste,345.0,352.0
134.0,LCBARR-SP345,,-20.155287,-47.284213,SP,Sudeste-Centro-Oeste,345.0,204.0
136.0,FURNAS-MG345,,-20.66732,-46.319262,MG,Sudeste-Centro-Oeste,345.0,352.0
138.0,ITUTIN-MG345,,-21.297053,-44.628422,MG,Sudeste-Centro-Oeste,345.0,352.0
140.0,ADRIAN-RJ345,,-22.665712,-43.476932,RJ,Sudeste-Centro-Oeste,345.0,252.0
144.0,JACARE-RJ345,,-22.923911,-43.420783,RJ,Sudeste-Centro-Oeste,345.0,252.0
147.0,CAMPOS-RJ345,,-21.719534,-41.338472,RJ,Sudeste-Centro-Oeste,345.0,252.0
149.0,VITORI-ES345,,-20.194191,-40.294523,ES,Sudeste-Centro-Oeste,345.0,302.0
154.0,VITAT2-ES013,,-20.194191,-40.294523,ES,Sudeste-Centro-Oeste,13.8,302.0
155.0,VITAT3-ES013,,-20.194191,-40.294523,ES,Sudeste-Centro-Oeste,13.8,302.0
156.0,VITAT4-ES013,,-20.194191,-40.294523,ES,Sudeste-Centro-Oeste,13.8,302.0
161.0,MO-FCE-SP230,,-23.503735,-46.169846,SP,Sudeste-Centro-Oeste,230.0,205.0
163.0,CAMPI1-SP013,,-22.774201,-47.004621,SP,Sudeste-Centro-Oeste,13.8,204.0
165.0,P.CAL2-MG013,,-21.797915,-46.612409,MG,Sudeste-Centro-Oeste,13.8,352.0
167.0,JA-R60-RJ013,,-22.923911,-43.420783,RJ,Sudeste-Centro-Oeste,13.8,252.0
169.0,SJOSE2-RJ138,,-22.91709,-43.750502,RJ,Sudeste-Centro-Oeste,138.0,254.0
170.0,P.CALD-MG138,,-21.521611,-45.412614,MG,Sudeste-Centro-Oeste,138.0,359.0
171.0,CAMPI1-SP138,,-23.19972222,-45.88333333,SP,Sudeste-Centro-Oeste,138.0,207.0
172.0,IMBARE-RJ138,,-22.71666667,-43.23833333,RJ,Sudeste-Centro-Oeste,138.0,256.0
173.0,ADRIAN-RJ138,,-22.71666667,-43.23833333,RJ,Sudeste-Centro-Oeste,138.0,256.0
174.0,R.LEAO-RJ138,,-21.9217,-42.7907,RJ,Sudeste-Centro-Oeste,138.0,258.0
175.0,CAMPOS-RJ138,,-21.724823,-41.346288,RJ,Sudeste-Centro-Oeste,138.0,259.0
177.0,VITOR1-ES138,,-20.194191,-40.294523,ES,Sudeste-Centro-Oeste,138.0,304.0
178.0,GRAJAU-RJ138,,-22.91709,-43.750502,RJ,Sudeste-Centro-Oeste,138.0,254.0
180.0,JACAR2-RJ138,,-22.91709,-43.750502,RJ,Sudeste-Centro-Oeste,138.0,254.0
181.0,ANGDEF-RJ138,,-23.008611,-44.454948,RJ,Sudeste-Centro-Oeste,138.0,251.0
182.0,FUNIL--RJ138,,-22.526586,-44.572512,RJ,Sudeste-Centro-Oeste,138.0,255.0
183.0,C.PAUL-SP138,,-22.632745,-45.035694,SP,Sudeste-Centro-Oeste,138.0,214.0
184.0,S.CRUZ-RJ138,,-22.91709,-43.750502,RJ,Sudeste-Centro-Oeste,138.0,254.0
185.0,ANGRA--RJ138,,-22.526586,-44.572512,RJ,Sudeste-Centro-Oeste,138.0,255.0
186.0,CAMP54-SP013,,-22.774201,-47.004621,SP,Sudeste-Centro-Oeste,13.8,202.0
187.0,M.MORA-MG138,,-18.790278,-48.147222,MG,Sudeste-Centro-Oeste,138.0,358.0
190.0,P.COL--MG138,,-22.505,-48.545,MG,Sudeste-Centro-Oeste,138.0,208.0
